sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
67,HEDEF,Hedef,HEDEF PORTFÖY PUSULA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HVB,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1154831610.38,13,1.003217,1151128347
68,HEDEF,Hedef,HEDEF PORTFÖY ROTA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HVC,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,70316264.17,16,25.778308,2727730
69,HEDEF,Hedef,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),DUH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,133830518.15,446,1.044251,128159333
70,HEDEF,Hedef,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),HDK,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,11977938.92,126,3.040744,3939148
71,HEDEF,Hedef,HEDEF PORTFÖY ZEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN),HPZ,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,5141529.29,18,531.479149,9674
72,PARDUS,Pardus,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),AP6,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,721349167.31,45,7.567257,95325048
73,PARDUS,Pardus,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PAO,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,4316852.72,217,1.090675,3957963
74,PARDUS,Pardus,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BST,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,36159899.09,541,10.424106,3468873
75,PARDUS,Pardus,PARDUS PORTFÖY BATI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PHY,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,639570889.27,45,5.089799,125657393
76,PARDUS,Pardus,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BRT,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,10073125.51,315,0.805998,12497713
